date,open,high,low,close,volume,barCount
20231204,1.21,1.22,1.1,1.16,32476.01,6872
20231205,1.15,1.17,1.04,1.06,25296.13,5561
20231206,1.09,1.09,1.05,1.06,22135,4109
20231207,1.09,1.1,1.03,1.05,16308.66,3607
20231208,1.04,1.08,1.01,1.04,20834.95,4237
20231211,1.06,1.09,1.01,1.02,21456.16,4143
20231212,1.01,1.04,0.96,0.996,25046.78,4010
20231213,1.0,1.02,0.92,0.9823,26245.15,3805
20231214,1.01,1.08,1.0,1.01,31354.55,5201
20231215,1.03,1.07,1.025,1.07,23426.43,3246
20231218,1.07,1.15,1.035,1.1,30925.94,4007
20231219,1.13,1.15,1.05,1.06,26745.17,3808
20231220,1.06,1.09,1.0,1.02,22119.78,3183
20231221,1.03,1.04,0.9845,1.02,17570.73,2724
20231222,1.01,1.03,0.9919,0.994,12865.67,2235
20231226,1.05,1.09,1.01,1.05,19937.02,3330
20231227,1.06,1.0889,1.01,1.02,14724.5,2346
20231228,1.0,1.05,1.0,1.02,12615.19,1597
20231229,1.03,1.04,0.975,0.9849,21249.57,3530
20240102,1.0,1.0,0.913,0.9244,26964.7,4583
20240103,0.9373,0.9747,0.9043,0.9688,27391.92,5098
20240104,0.99,1.05,0.97,1.02,20374.81,3058
20240105,1.03,1.04,0.9911,1.01,9531.09,2008
20240108,1.03,1.2,1.02,1.14,42331.31,4545
20240109,1.12,1.23,1.07,1.18,50468.95,6697
20240110,1.18,1.18,1.1,1.13,18155.89,2699
20240111,1.1,1.1492,1.05,1.07,21099.81,2816
20240112,1.06,1.12,1.0,1.02,18881.31,3008
20240116,1.02,1.039,0.9853,1.01,13717.14,2569
20240117,0.9853,0.9985,0.9502,0.9661,14069.99,3044
20240118,0.99,1.02,0.955,0.9673,10363.98,2062
20240119,0.98,1.04,0.9556,1.01,12257.94,2265
20240122,1.03,1.1,1.01,1.1,22314.32,3398
20240123,1.1,1.14,1.08,1.11,17292.74,2808
20240124,1.12,1.15,1.075,1.09,16116.66,2600
20240125,1.09,1.15,1.023,1.04,26803.23,3864
20240126,1.03,1.11,1.02,1.09,18924.28,3116
20240129,1.1,1.14,1.04,1.11,23696.21,3629
20240130,1.12,1.31,1.1,1.24,97996.51,13829
20240131,1.19,1.4,1.19,1.24,79187.79,13470
20240201,1.28,1.37,1.2,1.32,55309.84,7779
